batch_idx,epoch,step,test_loss,train_loss
49.0,0,49,,0.4325956404209137
99.0,0,99,,0.38279423117637634
149.0,0,149,,0.37820902466773987
199.0,0,199,,0.32141104340553284
249.0,0,249,,0.28130942583084106
299.0,0,299,,0.3098912537097931
349.0,0,349,,0.2807859182357788
399.0,0,399,,0.2728082835674286
449.0,0,449,,0.2918362617492676
499.0,0,499,,0.2554933726787567
549.0,0,549,,0.2621106505393982
599.0,0,599,,0.26218467950820923
649.0,0,649,,0.2528798282146454
2.0,1,699,,0.24704761803150177
52.0,1,749,,0.2514774203300476
102.0,1,799,,0.24187904596328735
152.0,1,849,,0.20638558268547058
202.0,1,899,,0.22539706528186798
252.0,1,949,,0.223454087972641
302.0,1,999,,0.2077139914035797
352.0,1,1049,,0.1943843960762024
402.0,1,1099,,0.21694347262382507
452.0,1,1149,,0.20325973629951477
502.0,1,1199,,0.18768221139907837
552.0,1,1249,,0.20004022121429443
602.0,1,1299,,0.21067634224891663
652.0,1,1349,,0.20042002201080322
5.0,2,1399,,0.2002181112766266
55.0,2,1449,,0.1743263304233551
105.0,2,1499,,0.18361800909042358
155.0,2,1549,,0.20587310194969177
205.0,2,1599,,0.17713135480880737
255.0,2,1649,,0.1784173548221588
305.0,2,1699,,0.1862790435552597
355.0,2,1749,,0.19631588459014893
405.0,2,1799,,0.17421433329582214
455.0,2,1849,,0.17563417553901672
505.0,2,1899,,0.17521695792675018
555.0,2,1949,,0.1860511153936386
605.0,2,1999,,0.21021990478038788
655.0,2,2049,,0.18561822175979614
8.0,3,2099,,0.1777641773223877
58.0,3,2149,,0.18904517590999603
108.0,3,2199,,0.19872203469276428
158.0,3,2249,,0.17318303883075714
208.0,3,2299,,0.19791889190673828
258.0,3,2349,,0.15717707574367523
308.0,3,2399,,0.19934946298599243
358.0,3,2449,,0.18271809816360474
408.0,3,2499,,0.17836351692676544
458.0,3,2549,,0.1643507033586502
508.0,3,2599,,0.18980851769447327
558.0,3,2649,,0.18424804508686066
608.0,3,2699,,0.16963572800159454
658.0,3,2749,,0.17712357640266418
,4,2788,0.17617163062095642,
