batch_idx,epoch,step,test_loss,train_loss
49.0,0,49,,0.4221666157245636
99.0,0,99,,0.3599531948566437
149.0,0,149,,0.35515928268432617
199.0,0,199,,0.3217523992061615
249.0,0,249,,0.30255353450775146
299.0,0,299,,0.2903265357017517
349.0,0,349,,0.293701708316803
399.0,0,399,,0.2684119939804077
449.0,0,449,,0.2873207628726959
499.0,0,499,,0.26394858956336975
549.0,0,549,,0.28650546073913574
599.0,0,599,,0.23450855910778046
649.0,0,649,,0.25193801522254944
2.0,1,699,,0.26027852296829224
52.0,1,749,,0.2632184624671936
102.0,1,799,,0.26122763752937317
152.0,1,849,,0.21932165324687958
202.0,1,899,,0.24482455849647522
252.0,1,949,,0.22033831477165222
302.0,1,999,,0.22082944214344025
352.0,1,1049,,0.2229655385017395
402.0,1,1099,,0.20881815254688263
452.0,1,1149,,0.22303231060504913
502.0,1,1199,,0.21721529960632324
552.0,1,1249,,0.21506667137145996
602.0,1,1299,,0.22793109714984894
652.0,1,1349,,0.2137819230556488
5.0,2,1399,,0.20217598974704742
55.0,2,1449,,0.20285743474960327
105.0,2,1499,,0.23193128407001495
155.0,2,1549,,0.1860947161912918
205.0,2,1599,,0.2208845317363739
255.0,2,1649,,0.2124018669128418
305.0,2,1699,,0.19598792493343353
355.0,2,1749,,0.20285984873771667
405.0,2,1799,,0.1939801722764969
455.0,2,1849,,0.20035064220428467
505.0,2,1899,,0.19862915575504303
555.0,2,1949,,0.19796407222747803
605.0,2,1999,,0.21052339673042297
655.0,2,2049,,0.19168424606323242
8.0,3,2099,,0.2100500762462616
58.0,3,2149,,0.21537086367607117
108.0,3,2199,,0.1963392198085785
158.0,3,2249,,0.1943388283252716
208.0,3,2299,,0.18418511748313904
258.0,3,2349,,0.1896308809518814
308.0,3,2399,,0.18785755336284637
358.0,3,2449,,0.1852615475654602
408.0,3,2499,,0.1710921823978424
458.0,3,2549,,0.17524182796478271
508.0,3,2599,,0.17769023776054382
558.0,3,2649,,0.19226901233196259
608.0,3,2699,,0.19405235350131989
658.0,3,2749,,0.18492305278778076
,4,2788,0.18857958912849426,
